
Yorkshire Coast Line | Sheffield – Meadowhall – Doncaster –                                                       Goole –                                        Brough –                    Hull Paragon – Cottingham – Beverley – Driffield – Bridlington – Bempton – Hunmanby – Filey – Seamer – Scarborough | 1tph

Yorkshire Wolds Line | Bridlington – Nafferton – Driffield – Hutton Cranswick – Beverley – Cottingham – Hull Paragon – Brough – Gilberdyke – Howden – Selby – Sherburn-in-Elmet – Church Fenton – York | 0.5tph
Yorkshire Wolds Line | Bridlington – Nafferton – Driffield – Hutton Cranswick – Beverley – Cottingham – Hull Paragon – Brough – Gilberdyke – Howden – Selby –                                   – York | 0.5tph

Settle and Carlisle Line | Leeds – Shipley – Bingley – Keighley – Skipton – Hellifield – Settle – Horton in Ribblesdale – Ribblehead – Dent – Garsdale – Kirkby Stephen – Appleby – Langwathby – Lazonby & Kirkoswald – Armathwaite – Carlisle | 0.5tph

Bentham Line | Leeds – Shipley – Bingley – Keighley – Skipton – Gargrave – Hellifield – Long Preston – Giggleswick – Clapham – Bentham – Wennington – Carnforth – Lancaster – Bare Lane – Morecambe | 0.5tph
Bentham Line |                                                                                                                                                    Lancaster – Bare Lane – Morecambe | 1tph
Bentham Line |                                                                                                                                                    Lancaster – Bare Lane – Morecambe – Heysham Port | 1tpd

Roses Line | York – Church Fenton – Garforth – Leeds – New Pudsey – Bradford Interchange – Halifax – Hebden Bridge – Burnley Manchester Road – Accrington – Blackburn – Preston – Kirkham & Wesham – Poulton-le-Fylde – Blackpool North | 1tph

Calderdale Line | Leeds – Bramley – New Pudsey – Bradford Interchange –            Halifax –                                Hebden Bridge – Todmorden – Rochdale – Manchester Victoria | 1tph
Calderdale Line | Leeds - Bramley – New Pudsey – Bradford Interchange – Low Moor – Halifax – Sowerby Bridge – Mytholmroyd – Hebden Bridge – Todmorden – Rochdale – Manchester Victoria – Newton-le-Willows – Earlestown – Warrington Bank Quay – Chester | 1tph

Atherton Line | Leeds – Morley – Batley – Dewsbury – Mirfield – Brighouse – Sowerby Bridge – Mytholmroyd – Hebden Bridge – Todmorden – Walsden – Littleborough – Smithy Bridge – Rochdale – Manchester Victoria – Salford Central – Salford Crescent – Swinton – Moorside – Walkden – Atherton – Hag Fold – Daisy Hill – Hindley – Ince – Wigan Wallgate | 1tph
